12/31/2018,2.39,12/31/2018
01/02/2019,2.44,01/02/2019
01/03/2019,2.40,01/03/2019
01/04/2019,2.42,01/04/2019
01/07/2019,2.40,01/07/2019
01/08/2019,2.42,01/08/2019
01/09/2019,2.40,01/09/2019
01/10/2019,2.40,01/10/2019
01/11/2019,2.42,01/11/2019
01/14/2019,2.41,01/14/2019
01/15/2019,2.42,01/15/2019
01/16/2019,2.41,01/16/2019
01/17/2019,2.41,01/17/2019
01/18/2019,2.41,01/18/2019
01/22/2019,2.40,01/22/2019
01/23/2019,2.38,01/23/2019
01/24/2019,2.37,01/24/2019
01/25/2019,2.38,01/25/2019
01/28/2019,2.36,01/28/2019
01/29/2019,2.39,01/29/2019
01/30/2019,2.39,01/30/2019
01/31/2019,2.40,01/31/2019
02/01/2019,2.42,02/01/2019
02/04/2019,2.41,02/04/2019
02/05/2019,2.41,02/05/2019
02/06/2019,2.39,02/06/2019
02/07/2019,2.40,02/07/2019
02/08/2019,2.43,02/08/2019
02/11/2019,2.43,02/11/2019
02/12/2019,2.44,02/12/2019
02/13/2019,2.42,02/13/2019
02/14/2019,2.42,02/14/2019
02/15/2019,2.45,02/15/2019
02/19/2019,2.43,02/19/2019
02/20/2019,2.44,02/20/2019
02/21/2019,2.41,02/21/2019
02/22/2019,2.43,02/22/2019
02/25/2019,2.43,02/25/2019
02/26/2019,2.44,02/26/2019
02/27/2019,2.43,02/27/2019
02/28/2019,2.43,02/28/2019
03/01/2019,2.44,03/01/2019
03/04/2019,2.44,03/04/2019
03/05/2019,2.44,03/05/2019
03/06/2019,2.43,03/06/2019
03/07/2019,2.42,03/07/2019
03/08/2019,2.45,03/08/2019
03/11/2019,2.45,03/11/2019
03/12/2019,2.44,03/12/2019
03/13/2019,2.43,03/13/2019
03/14/2019,2.43,03/14/2019
03/15/2019,2.48,03/15/2019
03/18/2019,2.46,03/18/2019
03/19/2019,2.48,03/19/2019
03/20/2019,2.45,03/20/2019
03/21/2019,2.45,03/21/2019
03/22/2019,2.51,03/22/2019
03/25/2019,2.49,03/25/2019
03/26/2019,2.46,03/26/2019
03/27/2019,2.46,03/27/2019
03/28/2019,2.45,03/28/2019
03/29/2019,2.44,03/29/2019
04/01/2019,2.43,04/01/2019
04/02/2019,2.42,04/02/2019
04/03/2019,2.43,04/03/2019
04/04/2019,2.42,04/04/2019
04/05/2019,2.43,04/05/2019
04/08/2019,2.42,04/08/2019
04/09/2019,2.43,04/09/2019
04/10/2019,2.42,04/10/2019
04/11/2019,2.40,04/11/2019
04/12/2019,2.42,04/12/2019
04/15/2019,2.41,04/15/2019
04/16/2019,2.42,04/16/2019
04/17/2019,2.43,04/17/2019
04/18/2019,2.42,04/18/2019
04/19/2019,2.44,04/19/2019
04/22/2019,2.44,04/22/2019
04/23/2019,2.44,04/23/2019
04/24/2019,2.43,04/24/2019
04/25/2019,2.42,04/25/2019
04/26/2019,2.43,04/26/2019
04/29/2019,2.42,04/29/2019
04/30/2019,2.45,04/30/2019
05/01/2019,2.42,05/01/2019
05/02/2019,2.42,05/02/2019
05/03/2019,2.44,05/03/2019
05/06/2019,2.42,05/06/2019
05/07/2019,2.43,05/07/2019
05/08/2019,2.43,05/08/2019
05/09/2019,2.42,05/09/2019
05/10/2019,2.43,05/10/2019
05/13/2019,2.42,05/13/2019
05/14/2019,2.41,05/14/2019
05/15/2019,2.41,05/15/2019
05/16/2019,2.40,05/16/2019
05/17/2019,2.40,05/17/2019
05/20/2019,2.39,05/20/2019
05/21/2019,2.39,05/21/2019
05/22/2019,2.37,05/22/2019
05/23/2019,2.36,05/23/2019
05/24/2019,2.38,05/24/2019
05/28/2019,2.37,05/28/2019
05/29/2019,2.35,05/29/2019
05/30/2019,2.35,05/30/2019
05/31/2019,2.37,05/31/2019
06/03/2019,2.35,06/03/2019
06/04/2019,2.36,06/04/2019
06/05/2019,2.34,06/05/2019
06/06/2019,2.30,06/06/2019
06/07/2019,2.32,06/07/2019
06/10/2019,2.30,06/10/2019
06/11/2019,2.30,06/11/2019
06/12/2019,2.27,06/12/2019
06/13/2019,2.19,06/13/2019
06/14/2019,2.24,06/14/2019
06/17/2019,2.23,06/17/2019
06/18/2019,2.22,06/18/2019
06/19/2019,2.18,06/19/2019
06/20/2019,2.14,06/20/2019
06/21/2019,2.17,06/21/2019
06/24/2019,2.16,06/24/2019
06/25/2019,2.12,06/25/2019
06/26/2019,2.11,06/26/2019
06/27/2019,2.11,06/27/2019
06/28/2019,2.19,06/28/2019
07/01/2019,2.18,07/01/2019
07/02/2019,2.17,07/02/2019
07/03/2019,2.22,07/03/2019
07/05/2019,2.25,07/05/2019
07/08/2019,2.26,07/08/2019
07/09/2019,2.23,07/09/2019
07/10/2019,2.22,07/10/2019
07/11/2019,2.18,07/11/2019
07/12/2019,2.17,07/12/2019
07/15/2019,2.16,07/15/2019
07/16/2019,2.17,07/16/2019
07/17/2019,2.16,07/17/2019
07/18/2019,2.13,07/18/2019
07/19/2019,2.11,07/19/2019
07/22/2019,2.11,07/22/2019
07/23/2019,2.13,07/23/2019
07/24/2019,2.11,07/24/2019
07/25/2019,2.09,07/25/2019
07/26/2019,2.16,07/26/2019
07/29/2019,2.13,07/29/2019
07/30/2019,2.12,07/30/2019
07/31/2019,2.07,07/31/2019
08/01/2019,2.00,08/01/2019
08/02/2019,2.11,08/02/2019
08/05/2019,2.11,08/05/2019
08/06/2019,2.03,08/06/2019
08/07/2019,2.05,08/07/2019
08/08/2019,2.02,08/08/2019
08/09/2019,2.09,08/09/2019
08/12/2019,2.05,08/12/2019
08/13/2019,2.09,08/13/2019
08/14/2019,2.05,08/14/2019
08/15/2019,1.99,08/15/2019
08/16/2019,2.08,08/16/2019
08/19/2019,2.05,08/19/2019
08/20/2019,2.07,08/20/2019
08/21/2019,2.07,08/21/2019
08/22/2019,2.05,08/22/2019
08/23/2019,2.10,08/23/2019
08/26/2019,2.07,08/26/2019
08/27/2019,2.10,08/27/2019
08/28/2019,2.08,08/28/2019
08/29/2019,2.07,08/29/2019
08/30/2019,2.10,08/30/2019
09/03/2019,2.10,09/03/2019
09/04/2019,2.07,09/04/2019
09/05/2019,2.05,09/05/2019
09/06/2019,2.05,09/06/2019
09/09/2019,2.05,09/09/2019
09/10/2019,2.05,09/10/2019
09/11/2019,2.05,09/11/2019
09/12/2019,2.02,09/12/2019
09/13/2019,1.99,09/13/2019
09/16/2019,1.99,09/16/2019
09/17/2019,2.09,09/17/2019
09/18/2019,2.10,09/18/2019
09/19/2019,1.94,09/19/2019
09/20/2019,2.01,09/20/2019
09/23/2019,1.95,09/23/2019
09/24/2019,1.94,09/24/2019
09/25/2019,1.90,09/25/2019
09/26/2019,1.79,09/26/2019
09/27/2019,1.91,09/27/2019
09/30/2019,1.90,09/30/2019
10/01/2019,1.91,10/01/2019
10/02/2019,1.79,10/02/2019
10/03/2019,1.75,10/03/2019
10/04/2019,1.78,10/04/2019
10/07/2019,1.73,10/07/2019
10/08/2019,1.76,10/08/2019
10/09/2019,1.68,10/09/2019
10/10/2019,1.69,10/10/2019
10/11/2019,1.74,10/11/2019
10/15/2019,1.76,10/15/2019
10/16/2019,1.74,10/16/2019
10/17/2019,1.72,10/17/2019
10/18/2019,1.74,10/18/2019
